network,property,result,time,steps
onnx/tllBench_n=2_N=M=8_m=1_instance_0_0.onnx, vnnlib/property_N=8_0.vnnlib, SAT, 0.353943486, 1
onnx/tllBench_n=2_N=M=8_m=1_instance_0_1.onnx, vnnlib/property_N=8_1.vnnlib, SAT, 0.289522823, 27
onnx/tllBench_n=2_N=M=8_m=1_instance_0_2.onnx, vnnlib/property_N=8_2.vnnlib, SAT, 0.252608758, 1
onnx/tllBench_n=2_N=M=8_m=1_instance_0_3.onnx, vnnlib/property_N=8_3.vnnlib, UNSAT, 0.394910079, 141
onnx/tllBench_n=2_N=M=16_m=1_instance_1_0.onnx, vnnlib/property_N=16_0.vnnlib, UNSAT, 0.302789751, 8
onnx/tllBench_n=2_N=M=16_m=1_instance_1_1.onnx, vnnlib/property_N=16_1.vnnlib, SAT, 0.263398987, 4
onnx/tllBench_n=2_N=M=16_m=1_instance_1_2.onnx, vnnlib/property_N=16_2.vnnlib, UNSAT, 2.55666127, 460
onnx/tllBench_n=2_N=M=16_m=1_instance_1_3.onnx, vnnlib/property_N=16_3.vnnlib, SAT, 0.256800229, 1
onnx/tllBench_n=2_N=M=24_m=1_instance_2_0.onnx, vnnlib/property_N=24_0.vnnlib, UNSAT, 1.076680942, 40
onnx/tllBench_n=2_N=M=24_m=1_instance_2_1.onnx, vnnlib/property_N=24_1.vnnlib, SAT, 0.262282023, 1
onnx/tllBench_n=2_N=M=24_m=1_instance_2_2.onnx, vnnlib/property_N=24_2.vnnlib, UNSAT, 0.749720168, 25
onnx/tllBench_n=2_N=M=24_m=1_instance_2_3.onnx, vnnlib/property_N=24_3.vnnlib, SAT, 0.261637694, 1
onnx/tllBench_n=2_N=M=32_m=1_instance_3_0.onnx, vnnlib/property_N=32_0.vnnlib, UNSAT, 171.794165242, 3145
onnx/tllBench_n=2_N=M=32_m=1_instance_3_1.onnx, vnnlib/property_N=32_1.vnnlib, SAT, 0.322482331, 1
onnx/tllBench_n=2_N=M=32_m=1_instance_3_2.onnx, vnnlib/property_N=32_2.vnnlib, SAT, 0.290185519, 1
onnx/tllBench_n=2_N=M=32_m=1_instance_3_3.onnx, vnnlib/property_N=32_3.vnnlib, SAT, 0.289340209, 1
onnx/tllBench_n=2_N=M=40_m=1_instance_4_0.onnx, vnnlib/property_N=40_0.vnnlib, SAT, 0.410572543, 1
onnx/tllBench_n=2_N=M=40_m=1_instance_4_1.onnx, vnnlib/property_N=40_1.vnnlib, SAT, 0.58136268, 1
onnx/tllBench_n=2_N=M=40_m=1_instance_4_2.onnx, vnnlib/property_N=40_2.vnnlib, UNSAT, 18.485532674, 130
onnx/tllBench_n=2_N=M=40_m=1_instance_4_3.onnx, vnnlib/property_N=40_3.vnnlib, UNSAT, 39.765301825, 287
onnx/tllBench_n=2_N=M=48_m=1_instance_5_0.onnx, vnnlib/property_N=48_0.vnnlib, UNSAT, 72.413398377, 260
onnx/tllBench_n=2_N=M=48_m=1_instance_5_1.onnx, vnnlib/property_N=48_1.vnnlib, SAT, 0.845368406, 2
onnx/tllBench_n=2_N=M=48_m=1_instance_5_2.onnx, vnnlib/property_N=48_2.vnnlib, SAT, 0.791398206, 1
onnx/tllBench_n=2_N=M=48_m=1_instance_5_3.onnx, vnnlib/property_N=48_3.vnnlib, SAT, 0.485516906, 1
onnx/tllBench_n=2_N=M=56_m=1_instance_6_0.onnx, vnnlib/property_N=56_0.vnnlib, SAT, 2.867743089, 5
onnx/tllBench_n=2_N=M=56_m=1_instance_6_1.onnx, vnnlib/property_N=56_1.vnnlib, SAT, 0.822008917, 1
onnx/tllBench_n=2_N=M=56_m=1_instance_6_2.onnx, vnnlib/property_N=56_2.vnnlib, SAT, 0.778077036, 1
onnx/tllBench_n=2_N=M=56_m=1_instance_6_3.onnx, vnnlib/property_N=56_3.vnnlib, SAT, 8.243880406, 15
onnx/tllBench_n=2_N=M=64_m=1_instance_7_0.onnx, vnnlib/property_N=64_0.vnnlib, UNSAT, 342.901407045, 397
onnx/tllBench_n=2_N=M=64_m=1_instance_7_1.onnx, vnnlib/property_N=64_1.vnnlib, SAT, 1.289296463, 1
onnx/tllBench_n=2_N=M=64_m=1_instance_7_2.onnx, vnnlib/property_N=64_2.vnnlib, SAT, 1.360060616, 1
onnx/tllBench_n=2_N=M=64_m=1_instance_7_3.onnx, vnnlib/property_N=64_3.vnnlib, inconclusive, 701.48692191, 807
